backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim
tiny,0.1,0.002411,37.839,0.973437,0.008914,32.1592,0.924098
tiny,0.2,0.004763,35.0065,0.947962,0.009953,31.806,0.915651
tiny,0.3,0.006616,33.629,0.928898,0.010084,31.7988,0.913996
tiny,0.4,0.009454,31.8259,0.900663,0.012143,30.7389,0.896427
tiny,0.5,0.012589,30.1923,0.874247,0.014312,29.6351,0.880937
tiny,0.6,0.015482,29.4388,0.851886,0.0166,29.136,0.863977
tiny,0.7,0.018068,28.8181,0.832873,0.018619,28.6876,0.848354
tiny,0.8,0.021311,27.9398,0.813653,0.021487,27.9043,0.831196
tiny,0.9,0.02619,27.0407,0.788596,0.026243,27.0319,0.801339
100M,0.1,0.002126,38.7029,0.977701,0.007862,33.0231,0.935256
100M,0.2,0.004324,35.8809,0.954529,0.009035,32.6804,0.924787
100M,0.3,0.006174,34.1509,0.936814,0.009409,32.3207,0.922691
100M,0.4,0.009152,32.1392,0.907889,0.011754,31.0522,0.903538
100M,0.5,0.011822,30.8469,0.88478,0.01344,30.2898,0.888491
100M,0.6,0.014966,29.7176,0.85806,0.016047,29.4148,0.866856
100M,0.7,0.017598,29.0435,0.83549,0.018135,28.913,0.847829
100M,0.8,0.020862,28.1636,0.813477,0.021034,28.128,0.828518
100M,0.9,0.026062,26.9578,0.782611,0.026116,26.9489,0.795118
300M,0.1,0.002397,37.9459,0.974568,0.008864,32.2661,0.931764
300M,0.2,0.004771,35.0629,0.949334,0.00997,31.8624,0.922233
300M,0.3,0.006639,33.6517,0.931723,0.010118,31.8216,0.921587
300M,0.4,0.00946,31.9601,0.904942,0.01215,30.8731,0.905439
300M,0.5,0.012238,30.5555,0.882046,0.013913,29.9983,0.891676
300M,0.6,0.015062,29.7034,0.858313,0.01615,29.4006,0.87322
300M,0.7,0.017936,28.963,0.834658,0.018483,28.8325,0.853032
300M,0.8,0.021119,28.1795,0.813891,0.021293,28.1439,0.833734
300M,0.9,0.025147,27.3085,0.790383,0.025199,27.2996,0.803422
600M,0.1,0.002436,37.2745,0.972985,0.008935,31.6307,0.927673
600M,0.2,0.005015,34.0804,0.94625,0.010255,30.974,0.918063
600M,0.3,0.00759,32.4781,0.919796,0.011804,30.56,0.904927
600M,0.4,0.010166,31.1216,0.89544,0.013184,29.9927,0.894146
600M,0.5,0.012272,30.3213,0.876893,0.014101,29.7181,0.886036
600M,0.6,0.014899,29.4365,0.855466,0.015985,29.1308,0.87194
600M,0.7,0.01795,28.707,0.833211,0.018499,28.5761,0.853861
600M,0.8,0.020765,28.0487,0.813568,0.021028,27.994,0.833637
600M,0.9,0.023878,27.3863,0.791758,0.023953,27.3727,0.807609
